timestamp,mid,buy_vol,sell_vol,delta,cvd,ob_imbalance
2025-10-14 05:30:00+00:00,26500.000000,49.281700,33.313229,15.968472,15.968472,0.000388
2025-10-14 05:30:01+00:00,26499.780128,23.243724,93.967260,-70.723536,-54.755065,-0.647660
2025-10-14 05:30:02+00:00,26499.798364,14.987179,25.483875,-10.496696,-65.251761,-0.809292
2025-10-14 05:30:03+00:00,26499.993186,27.014206,22.230620,4.783586,-60.468175,-0.531025
2025-10-14 05:30:04+00:00,26499.620985,8.811116,26.999866,-18.188750,-78.656925,-0.684357
2025-10-14 05:30:05+00:00,26499.626698,69.093137,116.855156,-47.762019,-126.418944,-0.812941
2025-10-14 05:30:06+00:00,26499.630944,63.376396,83.086085,-19.709688,-146.128632,-0.918711
2025-10-14 05:30:07+00:00,26498.807528,42.962782,130.094273,-87.131491,-233.260123,-0.880832
2025-10-14 05:30:08+00:00,26499.302636,31.359288,74.299646,-42.940358,-276.200481,-0.891824
2025-10-14 05:30:09+00:00,26499.594716,38.796120,73.796258,-35.000138,-311.200619,-0.932047
2025-10-14 05:30:10+00:00,26499.304652,22.972060,29.897467,-6.925407,-318.126025,-0.819817
2025-10-14 05:30:11+00:00,26499.232393,36.172630,120.280097,-84.107467,-402.233492,-0.702004
2025-10-14 05:30:12+00:00,26499.480428,15.688669,38.304755,-22.616086,-424.849578,-0.884724
2025-10-14 05:30:13+00:00,26499.363593,20.142753,43.266781,-23.124028,-447.973606,-0.855665
2025-10-14 05:30:14+00:00,26499.256999,34.848697,35.228759,-0.380062,-448.353668,-0.657917
2025-10-14 05:30:15+00:00,26498.580533,17.207579,43.432818,-26.225239,-474.578907,-0.865397
2025-10-14 05:30:16+00:00,26498.859963,39.785260,68.294392,-28.509133,-503.088040,-0.748612
2025-10-14 05:30:17+00:00,26498.932669,29.851031,43.940981,-14.089949,-517.177989,-0.948229
2025-10-14 05:30:18+00:00,26499.075520,28.633219,49.549237,-20.916017,-538.094006,-0.916213
2025-10-14 05:30:19+00:00,26498.366746,30.400117,43.966262,-13.566145,-551.660151,-0.782869
2025-10-14 05:30:20+00:00,26499.166064,29.064285,99.115088,-70.050803,-621.710953,-0.869662
2025-10-14 05:30:21+00:00,26499.249316,47.433629,17.255500,30.178129,-591.532825,-0.865275
2025-10-14 05:30:22+00:00,26499.076016,34.507053,40.759794,-6.252741,-597.785565,-0.751421
2025-10-14 05:30:23+00:00,26500.045035,59.175215,33.624599,25.550616,-572.234950,-0.766874
2025-10-14 05:30:24+00:00,26500.023054,28.031927,16.935128,11.096799,-561.138150,-0.713090
2025-10-14 05:30:25+00:00,26499.338202,17.136923,50.407622,-33.270699,-594.408850,-0.844979
2025-10-14 05:30:26+00:00,26499.155255,45.836580,50.653530,-4.816950,-599.225800,-0.770903
2025-10-14 05:30:27+00:00,26498.086011,50.304642,70.017878,-19.713236,-618.939036,-0.760313
2025-10-14 05:30:28+00:00,26498.605100,41.160729,43.496942,-2.336214,-621.275250,-0.851955
2025-10-14 05:30:29+00:00,26498.426015,30.889121,32.325446,-1.436324,-622.711574,-0.946536
2025-10-14 05:30:30+00:00,26498.095305,65.410025,67.133367,-1.723341,-624.434916,-0.816816
2025-10-14 05:30:31+00:00,26498.625165,18.011735,56.021079,-38.009344,-662.444260,-0.249158
2025-10-14 05:30:32+00:00,26497.863261,20.790660,60.089548,-39.298888,-701.743148,-0.970185
2025-10-14 05:30:33+00:00,26498.142612,28.148595,57.111114,-28.962519,-730.705667,-0.915434
2025-10-14 05:30:34+00:00,26497.191716,15.720598,62.536660,-46.816063,-777.521730,-0.875547
2025-10-14 05:30:35+00:00,26496.914381,9.636219,56.550358,-46.914139,-824.435869,-0.828142
2025-10-14 05:30:36+00:00,26496.384751,25.348308,69.105233,-43.756925,-868.192794,-0.722621
2025-10-14 05:30:37+00:00,26497.119736,21.038697,32.180530,-11.141833,-879.334627,-0.730328
2025-10-14 05:30:38+00:00,26497.989082,33.189218,33.945972,-0.756754,-880.091381,-0.638898
2025-10-14 05:30:39+00:00,26497.858781,24.338516,45.002064,-20.663548,-900.754929,-0.607615
2025-10-14 05:30:40+00:00,26498.282247,41.523766,16.161669,25.362098,-875.392832,-0.862245
2025-10-14 05:30:41+00:00,26498.218789,51.615844,30.785783,20.830061,-854.562771,-0.748099
2025-10-14 05:30:42+00:00,26498.509098,57.680466,26.445771,31.234695,-823.328076,-0.746305
2025-10-14 05:30:43+00:00,26498.172496,36.854998,45.288602,-8.433604,-831.761680,-0.543708
2025-10-14 05:30:44+00:00,26497.389242,24.069864,51.688652,-27.618788,-859.380468,-0.738363
2025-10-14 05:30:45+00:00,26496.571089,41.220595,55.790384,-14.569789,-873.950258,-0.807138
2025-10-14 05:30:46+00:00,26496.794714,69.921977,75.223586,-5.301609,-879.251867,-0.082050
2025-10-14 05:30:47+00:00,26497.895269,67.951703,45.816085,22.135618,-857.116249,-0.612280
2025-10-14 05:30:48+00:00,26498.048699,14.394455,12.309314,2.085142,-855.031107,-0.684606
2025-10-14 05:30:49+00:00,26497.825550,38.851738,80.355486,-41.503749,-896.534855,-0.348938
2025-10-14 05:30:50+00:00,26498.754921,26.041794,15.537273,10.504521,-886.030334,-0.748072
2025-10-14 05:30:51+00:00,26498.882459,25.483069,17.436894,8.046175,-877.984159,-0.658129
2025-10-14 05:30:52+00:00,26498.944292,61.107502,22.551049,38.556452,-839.427707,-0.623028
2025-10-14 05:30:53+00:00,26499.076672,39.445820,10.411754,29.034065,-810.393641,-0.822683
2025-10-14 05:30:54+00:00,26499.025748,82.017122,55.798284,26.218838,-784.174803,-0.877343
2025-10-14 05:30:55+00:00,26498.891891,60.452445,41.648772,18.803673,-765.371130,-0.339857
2025-10-14 05:30:56+00:00,26498.228623,26.906688,33.313957,-6.407268,-771.778398,-0.512796
2025-10-14 05:30:57+00:00,26498.487460,36.174288,8.835897,27.338391,-744.440007,-0.439364
2025-10-14 05:30:58+00:00,26498.461644,74.427522,15.387949,59.039572,-685.400435,0.155879
2025-10-14 05:30:59+00:00,26499.043848,51.427426,71.397666,-19.970241,-705.370675,-0.428652
2025-10-14 05:31:00+00:00,26498.881763,52.148377,30.590260,21.558116,-683.812559,0.454876
2025-10-14 05:31:01+00:00,26497.996178,39.983640,114.318408,-74.334768,-758.147326,-0.633198
2025-10-14 05:31:02+00:00,26497.974222,21.486195,74.946937,-53.460741,-811.608068,-0.817526
2025-10-14 05:31:03+00:00,26498.801479,75.389229,30.400417,44.988812,-766.619256,-0.133060
2025-10-14 05:31:04+00:00,26498.635533,50.287574,21.585418,28.702157,-737.917099,0.198142
2025-10-14 05:31:05+00:00,26498.232694,39.415415,51.899807,-12.484392,-750.401492,0.604795
2025-10-14 05:31:06+00:00,26497.691575,26.402175,47.501260,-21.099085,-771.500577,-0.011657
2025-10-14 05:31:07+00:00,26497.224976,8.527361,32.820308,-24.292946,-795.793523,0.006170
2025-10-14 05:31:08+00:00,26497.118016,61.857560,128.214920,-66.357360,-862.150883,-0.032080
2025-10-14 05:31:09+00:00,26496.597274,35.738623,40.253283,-4.514660,-866.665543,0.715449
2025-10-14 05:31:10+00:00,26497.346435,16.185213,67.119394,-50.934182,-917.599724,-0.601745
2025-10-14 05:31:11+00:00,26497.246242,51.069789,76.374249,-25.304460,-942.904184,-0.012484
2025-10-14 05:31:12+00:00,26497.331925,15.774185,67.354080,-51.579895,-994.484079,-0.253220
2025-10-14 05:31:13+00:00,26498.043898,61.757424,24.509332,37.248091,-957.235988,-0.474058
2025-10-14 05:31:14+00:00,26498.777699,41.378044,51.584919,-10.206874,-967.442863,-0.281815
2025-10-14 05:31:15+00:00,26498.692595,31.589988,21.878029,9.711959,-957.730904,-0.082023
2025-10-14 05:31:16+00:00,26498.865585,96.113089,40.300361,55.812728,-901.918176,-0.318954
2025-10-14 05:31:17+00:00,26499.226602,65.292941,25.466653,39.826288,-862.091888,-0.006669
2025-10-14 05:31:18+00:00,26499.145265,37.007168,27.592811,9.414357,-852.677532,0.231276
2025-10-14 05:31:19+00:00,26498.316946,78.044089,32.743277,45.300812,-807.376720,0.365288
2025-10-14 05:31:20+00:00,26498.646914,55.967170,34.664724,21.302446,-786.074274,-0.028228
2025-10-14 05:31:21+00:00,26499.085843,33.896012,23.430914,10.465099,-775.609175,0.040887
2025-10-14 05:31:22+00:00,26499.293335,44.974951,39.394161,5.580790,-770.028385,0.107093
2025-10-14 05:31:23+00:00,26498.866366,60.072317,19.945462,40.126855,-729.901530,0.385201
2025-10-14 05:31:24+00:00,26498.788036,67.594607,22.358164,45.236442,-684.665088,0.187799
2025-10-14 05:31:25+00:00,26498.524418,29.563693,61.650127,-32.086434,-716.751522,0.452050
2025-10-14 05:31:26+00:00,26498.401439,34.156114,68.549039,-34.392926,-751.144447,0.200030
2025-10-14 05:31:27+00:00,26499.033372,30.916059,21.632723,9.283336,-741.861111,-0.501234
2025-10-14 05:31:28+00:00,26499.767225,49.563075,30.475607,19.087469,-722.773643,0.297742
2025-10-14 05:31:29+00:00,26500.086025,35.405999,22.540238,12.865761,-709.907882,-0.230545
2025-10-14 05:31:30+00:00,26500.343899,54.826950,40.347012,14.479938,-695.427944,0.170340
2025-10-14 05:31:31+00:00,26500.658900,32.258945,17.937455,14.321490,-681.106454,0.111043
2025-10-14 05:31:32+00:00,26500.644886,21.616584,15.546911,6.069673,-675.036781,0.490767
2025-10-14 05:31:33+00:00,26500.601119,51.123374,17.552737,33.570638,-641.466143,0.211315
2025-10-14 05:31:34+00:00,26500.275710,133.163089,61.799397,71.363692,-570.102451,0.290757
2025-10-14 05:31:35+00:00,26500.245900,72.549138,47.098980,25.450159,-544.652293,-0.266177
2025-10-14 05:31:36+00:00,26501.309287,44.104802,38.294960,5.809841,-538.842451,0.680039
2025-10-14 05:31:37+00:00,26501.703033,143.913050,47.075477,96.837573,-442.004878,0.458185
2025-10-14 05:31:38+00:00,26501.520291,42.544581,32.194434,10.350146,-431.654732,0.468953
2025-10-14 05:31:39+00:00,26501.278575,46.116494,28.835809,17.280685,-414.374047,0.812155
2025-10-14 05:31:40+00:00,26500.854626,61.449353,46.415452,15.033901,-399.340146,0.778795
2025-10-14 05:31:41+00:00,26501.020611,54.424945,34.661677,19.763267,-379.576879,0.776585
2025-10-14 05:31:42+00:00,26501.192628,52.350922,25.651657,26.699265,-352.877614,0.881388
2025-10-14 05:31:43+00:00,26500.496691,40.981784,26.911014,14.070770,-338.806844,0.833056
2025-10-14 05:31:44+00:00,26500.719984,50.301895,27.886639,22.415256,-316.391588,0.714014
2025-10-14 05:31:45+00:00,26500.442247,81.344229,34.290984,47.053245,-269.338342,0.707198
2025-10-14 05:31:46+00:00,26501.109989,34.956186,15.628810,19.327376,-250.010966,0.924083
2025-10-14 05:31:47+00:00,26501.170130,44.160865,19.144646,25.016219,-224.994747,0.928218
2025-10-14 05:31:48+00:00,26501.966121,77.523976,50.409135,27.114841,-197.879907,0.906032
2025-10-14 05:31:49+00:00,26501.725341,137.462099,56.565716,80.896383,-116.983524,0.884389
2025-10-14 05:31:50+00:00,26501.567866,37.271723,4.735209,32.536515,-84.447009,0.928242
2025-10-14 05:31:51+00:00,26501.689752,70.704935,21.479476,49.225459,-35.221550,0.943326
2025-10-14 05:31:52+00:00,26502.166954,83.446740,58.199378,25.247362,-9.974188,0.915405
2025-10-14 05:31:53+00:00,26502.406922,45.798834,28.201376,17.597458,7.623269,0.938538
2025-10-14 05:31:54+00:00,26501.794690,38.916849,26.435732,12.481117,20.104386,0.926646
2025-10-14 05:31:55+00:00,26501.858570,78.469006,45.098567,33.370439,53.474825,0.882621
2025-10-14 05:31:56+00:00,26501.845834,52.357169,13.554253,38.802916,92.277741,0.976705
2025-10-14 05:31:57+00:00,26501.620272,37.110276,25.010801,12.099475,104.377216,0.920456
